Job_Description,JobType
"Seeking a Software Engineer to design, build and maintain SQL systems. You will work closely with data teams on implement security best practices. Must be proficient in PostgreSQL. Remote-friendly position.",Jobs – IT
"We are expanding our engineering team and need a Machine Learning Engineer. Daily tasks: automate deployment pipelines, provide IT support to end users, troubleshoot and resolve network issues. Stack: AWS, PostgreSQL.",Jobs – IT
"Machine Learning Engineer role: 5 years of experience with React required. Responsibilities include implement security best practices, collaborate with cross-functional teams. Knowledge of CI/CD pipelines and microservices is a strong plus.",Jobs – IT
Join our engineering team as a Cybersecurity Analyst. We need someone experienced in Terraform to handle conduct code reviews and perform security audits. Experience with REST APIs and containerization is required.,Jobs – IT
Remote Web Developer position available. Must have hands-on experience with AWS and networking. You will conduct code reviews and work with the engineering team.,Jobs – IT
"We are expanding our data team and need a Network Administrator. Daily tasks: configure and manage firewalls, manage cloud resources and costs, maintain server infrastructure. Stack: Java, bash scripting.",Jobs – IT
"Seeking a Site Reliability Engineer to design, build and maintain .NET systems. You will work closely with cloud teams on perform security audits. Must be proficient in Git. Remote-friendly position.",Jobs – IT
"We are expanding our platform team and need a Cloud Engineer. Daily tasks: collaborate with cross-functional teams, manage cloud resources and costs, develop internal tools and dashboards. Stack: SQL, Git.",Jobs – IT
"InfraNet is looking for a Full Stack Developer. Key responsibilities: manage cloud resources and costs, maintain server infrastructure. Required skills: Java, Windows Server, load balancers. Competitive salary and benefits.",Jobs – IT
Join our security team as a IT Help Desk Technician. We need someone experienced in networking protocols to handle develop and deploy web applications and write clean and maintainable code. Experience with Git and containerization is required.,Jobs – IT
"We are expanding our platform team and need a Machine Learning Engineer. Daily tasks: automate deployment pipelines, design database schemas, maintain server infrastructure. Stack: .NET, PostgreSQL.",Jobs – IT
"Seeking a DevOps Engineer to design, build and maintain Ansible systems. You will work closely with data teams on collaborate with cross-functional teams. Must be proficient in TCP/IP. Remote-friendly position.",Jobs – IT
"Software Engineer role: 7 years of experience with Azure required. Responsibilities include configure and manage firewalls, manage cloud resources and costs. Knowledge of bash scripting and monitoring tools is a strong plus.",Jobs – IT
"Seeking a Data Engineer to design, build and maintain networking protocols systems. You will work closely with security teams on develop internal tools and dashboards. Must be proficient in CI/CD pipelines. Remote-friendly position.",Jobs – IT
"Frontend Developer role: 7 years of experience with Node.js required. Responsibilities include provide IT support to end users, write clean and maintainable code. Knowledge of bash scripting and monitoring tools is a strong plus.",Jobs – IT
"Infrastructure Engineer role: 6 years of experience with C# required. Responsibilities include maintain server infrastructure, develop internal tools and dashboards. Knowledge of VMware and Agile methodology is a strong plus.",Jobs – IT
Join our infrastructure team as a Full Stack Developer. We need someone experienced in AWS to handle design database schemas and conduct code reviews. Experience with REST APIs and cybersecurity best practices is required.,Jobs – IT
"IT Help Desk Technician needed for a fast-growing tech company. Must have strong knowledge of React, networking, and monitoring tools. You will be responsible for collaborate with cross-functional teams, write clean and maintainable code, and develop internal tools and dashboards.",Jobs – IT
"Looking for a skilled Site Reliability Engineer. You will be troubleshooting and maintaining computer systems, networks and servers. Experience with .NET and VMware required.",Jobs – IT
"TechCorp is looking for a Software Engineer. Key responsibilities: troubleshoot and resolve network issues, maintain server infrastructure. Required skills: SQL, TCP/IP, microservices. Competitive salary and benefits.",Jobs – IT
Join our engineering team as a Backend Developer. We need someone experienced in C# to handle write clean and maintainable code and manage cloud resources and costs. Experience with REST APIs and monitoring tools is required.,Jobs – IT
"DevOps Engineer role: 6 years of experience with firewalls required. Responsibilities include configure and manage firewalls, collaborate with cross-functional teams. Knowledge of PostgreSQL and load balancers is a strong plus.",Jobs – IT
"We need a Database Administrator to support our IT infrastructure. Tasks include monitor system performance and uptime, monitor system performance and uptime, and ensuring uptime of networking protocols systems. AWS Certified Solutions Architect preferred.",Jobs – IT
"We need a Cybersecurity Analyst to support our IT infrastructure. Tasks include write clean and maintainable code, automate deployment pipelines, and ensuring uptime of Azure systems. CompTIA Security+ preferred.",Jobs – IT
"Systems Administrator needed for a fast-growing tech company. Must have strong knowledge of AWS, VMware, and monitoring tools. You will be responsible for maintain server infrastructure, troubleshoot and resolve network issues, and monitor system performance and uptime.",Jobs – IT
"Seeking a IT Support Specialist to design, build and maintain firewalls systems. You will work closely with infrastructure teams on conduct code reviews. Must be proficient in VMware. Remote-friendly position.",Jobs – IT
"We need a Software Engineer to support our IT infrastructure. Tasks include implement security best practices, implement security best practices, and ensuring uptime of networking protocols systems. Google Cloud Professional preferred.",Jobs – IT
"Network Administrator needed for a fast-growing tech company. Must have strong knowledge of Java, TCP/IP, and cybersecurity best practices. You will be responsible for automate deployment pipelines, troubleshoot and resolve network issues, and implement security best practices.",Jobs – IT
